ticker,Total_Score,Score_sur_20,date,horodatage
ASML,13.5,19.29,2025-08-01,2025-08-01 17:03:20
MSFT,13.5,19.29,2025-08-01,2025-08-01 17:03:20
V,13.0,18.57,2025-08-01,2025-08-01 17:03:20
NVDA,13.0,18.57,2025-08-01,2025-08-01 17:03:20
MA,11.0,18.33,2025-08-01,2025-08-01 17:03:20
BKNG,12.5,17.86,2025-08-01,2025-08-01 17:03:20
GOOG,12.5,17.86,2025-08-01,2025-08-01 17:03:20
NEM.HA,10.0,16.67,2025-08-01,2025-08-01 17:03:20
INTU,10.5,16.15,2025-08-01,2025-08-01 17:03:20
AAPL,11.0,15.71,2025-08-01,2025-08-01 17:03:20
AMZN,10.0,14.29,2025-08-01,2025-08-01 17:03:20
SPGI,10.0,14.29,2025-08-01,2025-08-01 17:03:20
CRM,9.0,12.86,2025-08-01,2025-08-01 17:03:20
IONQ,5.5,12.22,2025-08-01,2025-08-01 17:03:20
TSLA,7.5,11.54,2025-08-01,2025-08-01 17:03:20
JNJ,7.0,10.0,2025-08-01,2025-08-01 17:03:20
SNY,6.0,9.23,2025-08-01,2025-08-01 17:03:20
